drug_abbreviation,page,context
ETR,10,"s (NNRTIs)  
DOR [10]  3A4, 3A5  — — — — — 
EFV [11]  2B6 (primary), 2A6, 3A4  3A4 3A4, 2B6  — — — 
ETR [12]  3A4, 2C9, 2C19  2C9, 2C19  3A4 — P-gP inducer  — 
RPV [13]  3A4 — — — — GI absorption (pH-"
RPV,10,"rimary), 2A6, 3A4  3A4 3A4, 2B6  — — — 
ETR [12]  3A4, 2C9, 2C19  2C9, 2C19  3A4 — P-gP inducer  — 
RPV [13]  3A4 — — — — GI absorption (pH-
dependent)  
Nucleoside Reverse Transcriptase Inhibitors (N"
ABC,10,"3A4 — — — — GI absorption (pH-
dependent)  
Nucleoside Reverse Transcriptase Inhibitors (NRTIs)  
ABC [14]  — — — Substrate  — Alcohol dehydrogenase 
substrate  
FTC [15]  — — — — MATE1 substrate  —"
FTC,10,"Transcriptase Inhibitors (NRTIs)  
ABC [14]  — — — Substrate  — Alcohol dehydrogenase 
substrate  
FTC [15]  — — — — MATE1 substrate  — 
3TC [16]  — — — — Substrate of MATE1/2, 
OCT2  — 
TAF [17]  3A"
TAF,10,"substrate  
FTC [15]  — — — — MATE1 substrate  — 
3TC [16]  — — — — Substrate of MATE1/2, 
OCT2  — 
TAF [17]  3A4 (minor) — — — Substrate of P -gP, BCRP, 
OATP  —"
TDF,11,"formation.  
ARV  CYP Substrate  CYP Inhibitor  CYP Inducer  UGT1A1  Drug Transport Protein Other  
TDF [18]  — — — — Substrate of P -gP, OATP, 
MRP — 
Entry Inhibitors (EIs)  
FTR [19]  3A4 — — — Sub"
FTR,11,"nsport Protein Other  
TDF [18]  — — — — Substrate of P -gP, OATP, 
MRP — 
Entry Inhibitors (EIs)  
FTR [19]  3A4 — — — Substrate of P -gP, BCRP; 
Inhibitor of OATP, BCRP  — 
IBA [a] [20]  — — — — — —"
MVC,11,"R [19]  3A4 — — — Substrate of P -gP, BCRP; 
Inhibitor of OATP, BCRP  — 
IBA [a] [20]  — — — — — — 
MVC [21]  3A4 — — — P-gP substrate — 
Capsid Inhibitor  
LEN [22]  3A4 (minor) 3A4 (moderate)  — Sub"
LEN,11,"OATP, BCRP  — 
IBA [a] [20]  — — — — — — 
MVC [21]  3A4 — — — P-gP substrate — 
Capsid Inhibitor  
LEN [22]  3A4 (minor) 3A4 (moderate)  — Substrate (minor)  P-gP substrate — 
Drug name abbreviations"
ABC,11,") 3A4 (moderate)  — Substrate (minor)  P-gP substrate — 
Drug name abbreviations:  3TC, lamivudine; ABC, abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavi"
ATV,11,")  — Substrate (minor)  P-gP substrate — 
Drug name abbreviations:  3TC, lamivudine; ABC, abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravir"
BIC,11,"inor)  P-gP substrate — 
Drug name abbreviations:  3TC, lamivudine; ABC, abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, doluteg"
CAB,11,"ate — 
Drug name abbreviations:  3TC, lamivudine; ABC, abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavi"
COBI,11,"breviations:  3TC, lamivudine; ABC, abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etraviri"
DRV,11,"lamivudine; ABC, abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegra"
DOR,11,", abacavir; ATV, atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegravir; FTC, emtric"
DTG,11,"atazanavir; BIC, bictegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegravir; FTC, emtricitabine; FTR, fos"
EFV,11,"ctegravir; CAB, cabotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegravir; FTC, emtricitabine; FTR, fostemsavir; IBA, ibal"
ETR,11,"abotegravir; COBI, cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegravir; FTC, emtricitabine; FTR, fostemsavir; IBA, ibalizumab; LEN, lena"
EVG,11,", cobicistat; DRV, darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegravir; FTC, emtricitabine; FTR, fostemsavir; IBA, ibalizumab; LEN, lenacapavir; MVC, mar"
FTC,11,"darunavir; DOR, doravirine; DTG, dolutegravir; EFV, 
efavirenz; ETR, etravirine; EVG, elvitegravir; FTC, emtricitabine; FTR, fostemsavir; IBA, ibalizumab; LEN, lenacapavir; MVC, maraviroc; RAL, ralteg"
FTR,11,"nsport Protein Other  
TDF [18]  — — — — Substrate of P -gP, OATP, 
MRP — 
Entry Inhibitors (EIs)  
FTR [19]  3A4 — — — Substrate of P -gP, BCRP; 
Inhibitor of OATP, BCRP  — 
IBA [a] [20]  — — — — — —"
