drug_abbreviation,page,context
EVG,38,"nes.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 38 
 
Table 8: Boosted Elvitegravir (EVG) Interactions  (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
COBI,38,"nformation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Tecovirimat  may reduce EVG/COBI levels, though effects are 
not likely to be clinically relevant. No dose adjustment in either"
RTV,38,"phetamine, dextroamphetamine:  
CYP2D6 inhibition may increase drug concentrations with 
concurrent RTV use. Less effect found with COBI.  
• Modafinil:  CYP3A4 induction may reduce EVG and COBI level"
COBI,38,"nformation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Tecovirimat  may reduce EVG/COBI levels, though effects are 
not likely to be clinically relevant. No dose adjustment in either"
COBI,38,"nformation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Tecovirimat  may reduce EVG/COBI levels, though effects are 
not likely to be clinically relevant. No dose adjustment in either"
RTV,38,"phetamine, dextroamphetamine:  
CYP2D6 inhibition may increase drug concentrations with 
concurrent RTV use. Less effect found with COBI.  
• Modafinil:  CYP3A4 induction may reduce EVG and COBI level"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,38,"ne, buprenorphine, naloxone, and naltrexone; gender -affirming 
hormones.  
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,39,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 39 
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,39,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 39 
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RAL,39,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 39 
 
Table 9: Raltegravir (RAL) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,39,"ons and lithium. 
Non -Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
DOR,40,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 40 
 
Table 10: Doravirine (DOR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,40,".  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,40,".  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,40,"immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,41,"41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,41,"41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
RPV,41,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,41,"41 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
RPV,42,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 42 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,42,"42 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
RPV,42,"vguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 42 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therap"
CAB,42,"42 
 
Table 11: Rilpivirine (RPV) Interactions (also see prescribing information)  
The combination CAB/RPV antiretroviral therapy regimen can be used during an oral medication lead -in period and the"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,42,"e; immunosuppressants; COVID -19 therapeutics; gender -affirming hormones.  
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,43,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 43 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,44,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 44 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,45,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 45 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
RTV,45,"l antibodies  do not affect 
CYP450, P -gP, or other drug metabolism transporters.  
• Nirmatrelvir/RTV: Inhibition of CYP3A4, P -gP, and other 
transporters may increase plasma concentrations of othe"
RTV,45,"l antibodies  do not affect 
CYP450, P -gP, or other drug metabolism transporters.  
• Nirmatrelvir/RTV: Inhibition of CYP3A4, P -gP, and other 
transporters may increase plasma concentrations of othe"
EFV,45,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 45 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,45,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 45 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,45,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 45 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,45,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 45 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
EFV,45,"hivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 45 
 
Table 12: Efavirenz (EFV) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
LEN,45,"terone, micronized progesterone ), 
testosterone: No dose adjustments are necessary . 
Lenacapavir (LEN)  CYP3A4 and P -gP induction associated with concomitant HIV 
treatment potentially deceases LEN"
LEN,45,"terone, micronized progesterone ), 
testosterone: No dose adjustments are necessary . 
Lenacapavir (LEN)  CYP3A4 and P -gP induction associated with concomitant HIV 
treatment potentially deceases LEN"
RTV,45,"l antibodies  do not affect 
CYP450, P -gP, or other drug metabolism transporters.  
• Nirmatrelvir/RTV: Inhibition of CYP3A4, P -gP, and other 
transporters may increase plasma concentrations of othe"
ETR,45,"for benign 
prostatic hyperplasia; alcohol,  disulfiram, and acamprosate.  
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,45,"for benign 
prostatic hyperplasia; alcohol,  disulfiram, and acamprosate.  
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,45,"for benign 
prostatic hyperplasia; alcohol,  disulfiram, and acamprosate.  
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
ETR,46,"ivguidelines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 46 
 
Table 13: Etravirine (ETR) Interactions (also see prescribing information)  
Class or Drug  Mechanism of Action  Clinical"
